Modelo,Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost,0.9526242452392011,0.9538891476478808,0.9985372988785958,0.975702715578847,0.6715040965191537
Random Forest,0.9526242452392011,0.9526242452392011,1.0,0.9757373929590866,0.6669534708081185
Logistic Regression,0.7213190896423595,0.9594680177327423,0.7386640663091175,0.8347107438016529,0.5722794237148785
